hst_idx,total,cos,shad,hst_abs,block,atm,spil,rec_refl,rec_abs
240,100001,18081.680815,0,4095.96595925,246.953225749989,0,13712.1,6386.5,57477.8
241,100001,18008.080079,0,4099.64599605,-569.126075050015,0,13542.8,6492,58427.6
242,100001,18004.780046,0,4099.8109977,2973.3089563,0,12830,6209.3,55883.8
243,100001,18508.085079,0,4074.64574605,-2209.13082505,0,12078.7,6754.89999999999,60793.8
244,100001,18509.685095,0,4074.56574525,1068.74915975001,0,11643.9,6470.4,58233.7
245,100001,17941.779416,0,4102.9610292,1754.35955479999,0,11638.5,6456.3,58107.1
246,100001,17943.879437,0,4102.85602815,1057.16453484999,0,12741.8,6415.5,57739.8
247,100001,18433.084329,0,4078.39578355,682.219887449988,0,14166.9,6264.1,56376.3
248,100001,18434.584344,0,4078.3207828,2108.5948732,0,13086.1,6229.4,56064
249,100001,17904.17904,0,4104.841048,-1700.52008800001,0,13735.4,6595.7,59361.4
250,100001,17902.579024,0,4104.9210488,1192.1999272,0,13104.3,6369.7,57327.3
251,100002,18110.3622,0,4094.58189,-821.374089999997,0,6902.03,7171.59999999999,64544.8
252,100002,18106.762128,0,4094.7618936,-3291.37402160001,0,7216.05,7387.60000000001,66488.2
253,100001,17883.978838,0,4105.8510581,1498.07010389999,0,12659,6385.4,57468.7
254,100001,17881.678815,0,4105.96605925,240.355125750008,0,13101.3,6467.2,58204.5
255,100005,15913.495635,0,4204.57521825,-1648.81085325,0,2384.74,7915.10000000001,71235.9
256,100005,15921.296025,0,4204.18519875,-1629.25122375001,0,3117.57,7839.09999999999,70552.1
257,100002,18094.661886,21.4361,4094.2951007,-63.6830867000244,0,7826.49,7002.9,63025.9
258,100002,18086.261718,0,4095.7869141,2344.3313679,0,7714.82,6776.10000000001,60984.7
259,100003,16016.580483,0,4199.32097585,5994.07854115,0,1914.22,7187.8,64691
260,100003,16020.4806,0,4199.12597,5508.37342999999,0,1944.82,7233,65097.2
261,100001,18172.281721,0,4091.43591395,-1512.81763495001,0,11721.8,6752.8,60775.5
262,100001,18163.781636,0,4091.8609182,1205.25744579999,0,11642.1,6489.8,58408.2
263,100001,17796.677965,0,4110.21610175,-1214.19406675002,0,11106.7,6820.10000000001,61381.5
264,100001,17801.478013,0,4109.97609935,651.945887649985,0,10358.3,6707.9,60371.4
265,100004,16655.6662,0,4167.41669,-142.082889999991,0,2610.9,7671.20000000001,69040.9
266,100004,16672.366868,0,4166.5816566,-2065.9785246,0,2381.93,7884.90000000001,70964.2
267,100004,16333.953332,0,4183.5023334,-739.895665399978,0,2615.54,7761.09999999999,69849.8
268,100004,16324.552956,0,4183.9723522,403.354691800007,0,2717.22,7637.5,68737.4
269,100003,15394.961835,0,4230.40190825,9853.87625675,0,1662.66,6886.10000000001,61975
270,100003,15391.261724,0,4230.5869138,9298.92136219999,0,1691.83,6939.09999999999,62451.3
271,100001,17903.079029,0,4104.89604855,3125.02492245,0,10073.2,6479.4,58315.4
272,100001,17891.578914,0,4105.4710543,-1146.8499683,0,11047.4,6810.39999999999,61293
273,100002,17784.055674,0,4110.8972163,126.717109699996,0,5627.83,7235.2,65117.3
274,100002,17772.155436,0,4111.4922282,716.182335799997,0,6021.47,7138.1,64242.6
275,100016,10314.049984,0,4485.0975008,1783.0925152,0,2423.36,8101.09999999999,72909.3
276,100016,10311.14952,0,4485.242524,2344.647956,0,2334.26,8054,72486.7
277,100003,17018.710546,0,4149.2144727,-1633.9550187,0,3287.93,7718.10000000001,69463
278,100003,17022.210651,0,4149.03946745,1088.79988155,0,3074.95,7466.8,67201.2
279,100001,17852.978528,0,4107.4010736,-53.1496016000165,0,8227.97,6986.60000000001,62879.2
280,100001,17851.778516,0,4107.4610742,2026.4004098,0,8429.96,6758.59999999999,60826.8
281,100007,14482.413698,0,4276.2293151,380.426986899998,0,1285.03,7958.29999999999,71624.6
282,100007,14485.313901,0,4276.08430495,893.909794049978,0,897.092,7945.40000000001,71509.2
283,100002,17799.455982,0,4110.1272009,2778.59681709998,0,6337.72,6897.60000000001,62078.5
284,100002,17805.85611,0,4109.8071945,-898.603304499993,0,7099.24,7188.6,64697.1
285,100001,18025.780256,0,4098.7609872,706.258756800002,0,10299.4,6687.10000000001,60183.7
286,100001,18020.1802,0,4099.04099,695.678809999998,0,10733.7,6645.2,59807.2
287,100002,17822.156436,0,4108.9921782,248.301385800005,0,5013.85,7280.89999999999,65527.8
288,100002,17817.056334,0,4109.2471833,-787.213517299999,0,5358.11,7350.40000000001,66154.4
289,100008,14137.330896,0,4293.5334552,-2216.15435120001,0,2676.99,8111.7,73004.6
290,100008,14143.331376,0,4293.2334312,-229.464807200013,0,2475.8,7932.5,71392.6
291,100002,17489.049774,0,4125.6475113,2712.0527147,0,5315.15,7036.00000000001,63324.1
292,100002,17483.049654,0,4125.9475173,-1184.00717130001,0,5277.51,7429.89999999999,66869.6
293,100002,17475.549504,0,4126.3225248,-783.802028799997,0,4515.23,7466.8,67201.9
294,100002,17481.749628,0,4126.0125186,-1434.30214660002,0,4715.24,7511.3,67602
295,100002,17180.443602,0,4141.0778199,-1598.01142190001,0,3659.69,7661.8,68957
296,100002,17179.243578,0,4141.1378211,184.378600900003,0,3767.24,7473,67257
297,100002,17545.550904,0,4122.8224548,-1658.3833588,0,6182.01,7381,66429
298,100002,17550.351,0,4122.58245,-85.0034499999893,0,6978.67,7143.49999999999,64291.9
299,100001,17446.374462,0,4127.7312769,1561.8042611,0,7630.79,6923.4,62310.9
300,100001,17447.574474,0,4127.6712763,-333.525750300003,0,8034.38,7072.49999999999,63652.4
301,100001,17707.477073,0,4114.67614635,1321.74678065001,0,10723.9,6613.3,59519.9
302,100001,17696.676965,0,4115.21615175,89.1068832499877,0,10673.7,6742.60000000001,60683.7
303,100006,14828.589662,0,4258.8705169,-210.796178899996,0,830.936,8029.79999999999,72268.6
304,100006,14841.89046,0,4258.205477,-1050.67593699999,0,1059.18,8089.7,72807.7
305,100001,17634.276341,0,4118.33618295001,-217.612523949996,0,10701.8,6776.39999999999,60987.8
306,100001,17635.17635,0,4118.2911825,253.332467500004,0,10185.5,6780.89999999999,61027.8
307,100004,16171.046816,0,4191.6476592,-1122.3344752,0,1522.04,7924.20000000001,71317.4
308,100004,16167.046656,0,4191.8476672,2529.36567679998,0,1556.64,7555.90000000001,68003.2
